filename,scatterness
edit_form.vue,3.84746
edit_form_buttons.vue,3.71595
lock_issue_sidebar.vue,4.57826
participants.vue,4.68515
sidebar_participants.vue,3.16567
sidebar_subscriptions.vue,3.23695
subscriptions.vue,4.1598
collapsed_state.vue,4.63414
comparison_pane.vue,0.0
estimate_only_pane.vue,2.99573
help_state.vue,0.0
no_tracking_pane.vue,2.56495
sidebar_time_tracking.vue,0.0
spent_only_pane.vue,2.89037
time_tracker.vue,0.0
todo.vue,4.58497
sidebar_move_issue.js,4.37375
sidebar_service.js,3.6831
sidebar_store.js,4.09867
snippet_bundle.js,1.84622
snippet_embed.js,2.83899
sortable_config.js,1.94591
issuable_template_selector.js,0.0
issuable_template_selectors.js,0.0
index.js,0.0
terminal.js,0.0
index.js,1.55958
simulate_drag.js,0.0
simulate_input.js,3.13549
authenticate.js,0.0
error.js,2.96502
register.js,4.28614
util.js,3.67976
dependencies.js,3.61418
event_hub.js,1.09861
index.js,2.3947
mr_widget_options.vue,0.0
deployment.vue,4.61195
memory_usage.vue,0.0
mr_widget_author.vue,3.55179
mr_widget_author_time.vue,3.62182
mr_widget_header.vue,4.69241
mr_widget_merge_help.vue,3.61214
mr_widget_pipeline.vue,4.69555
mr_widget_related_links.vue,3.69672
mr_widget_status_icon.vue,4.03654
source_branch_removal_status.vue,3.48559
mr_widget_archived.vue,3.43399
