filename,scatterness
capitalize.rb,4.11087
ceiling.rb,3.61092
chomp.rb,4.04305
chop.rb,4.20469
compare.rb,4.82831
contain.rb,3.41476
convert_to.rb,3.32249
crit.rb,2.34199
debug.rb,2.34199
defined.rb,4.6448
dig.rb,3.84514
downcase.rb,4.3173
each.rb,4.60877
emerg.rb,2.34199
empty.rb,4.15018
epp.rb,3.64368
err.rb,2.34199
eyaml_lookup_key.rb,4.22092
filter.rb,4.52206
find_file.rb,3.72118
flatten.rb,4.15888
floor.rb,3.49852
get.rb,4.66937
getvar.rb,4.30656
hiera.rb,4.2015
hiera_array.rb,4.067
hiera_hash.rb,4.1826
hiera_include.rb,4.21934
hocon_data.rb,3.30783
import.rb,1.94591
include.rb,3.25714
info.rb,2.34199
inline_epp.rb,3.78419
join.rb,4.02535
json_data.rb,3.11843
keys.rb,3.21888
length.rb,3.78419
